,S&P,Nasdaq
397,BKR,
398,IFF,
399,HAS,
400,NTAP,
401,PHM,
402,MGM,
403,BIO,
404,FBHS,
405,CXO,
406,ATO,
407,CINF,
408,JBHT,
409,UDR,
410,RJF,
411,XRAY,
412,WRK,
413,NLOK,
414,ALLE,
415,LW,
416,TXT,
417,CCL,
418,AAP,
419,UHS,
420,CPB,
421,LUMN,
422,L,
423,CBOE,
424,FOXA,
425,HST,
426,LKQ,
427,FFIV,
428,WYNN,
429,SNA,
430,BWA,
431,PWR,
432,WU,
433,LYV,
434,HSIC,
435,PNW,
436,WRB,
437,GL,
438,RE,
439,HWM,
440,NI,
441,DISH,
442,PNR,
443,LB,
444,TAP,
445,IPG,
446,LNC,
447,DVA,
448,NWL,
449,ROL,
450,NRG,
451,CF,
452,IRM,
453,TPR,
454,AIZ,
455,MOS,
456,AOS,
457,MHK,
458,DISCK,
459,RHI,
460,IPGP,
461,JNPR,
462,REG,
463,AAL,
464,SEE,
465,COG,
466,CMA,
467,NWSA,
468,PRGO,
469,HII,
470,FANG,
471,ZION,
472,ALK,
473,VNO,
474,FRT,
475,IVZ,
476,KIM,
477,NCLH,
478,BEN,
479,AIV,
480,NLSN,
481,PVH,
482,DXC,
483,LEG,
484,DVN,
485,PBCT,
486,FLIR,
487,HBI,
488,APA,
489,MRO,
490,NOV,
491,UNM,
492,FOX,
493,VNT,
494,FLS,
495,GPS,
496,RL,
497,SLG,
498,DISCA,
499,XRX,
500,FTI,
501,HFC,
502,UAA,
503,UA,
504,NWS,
